title,url,tap,coder,time
Người Phán Xử - Tập 01 , https://ucarecdn.com/a5921fcd-265b-4c0f-b09b-c6a2993d0dbd/nguoiphanxutap01.mp4 , Tập 01 , Tống Trần Kiên , 47:29
Người Phán Xử - Tập 02 , https://ucarecdn.com/491f71e7-1327-4b42-872f-8cf572c9cb31/nguoiphanxutap02.mp4 , Tập 02 , Tống Trần Kiên , 46:45
Người Phán Xử - Tập 03 , https://ucarecdn.com/7fb958f1-173e-4d28-9fcb-9efc536c9c54/nguoiphanxutap03.mp4 , Tập 03 , Tống Trần Kiên , 43:58
Người Phán Xử - Tập 04 , https://ucarecdn.com/1596dc54-192c-4e33-9dc9-62b4aa74ac90/nguoiphanxutap04.mp4 , Tập 04 , Tống Trần Kiên , 47:15
Người Phán Xử - Tập 05 , https://ucarecdn.com/ff4eee77-58cb-47c1-8ed1-b82d3046847a/nguoiphanxutap05.mp4 , Tập 05 , Tống Trần Kiên , 48:12
Người Phán Xử - Tập 06 , https://ucarecdn.com/04c72d6d-edfe-443c-ac84-49b40a918b3e/nguoiphanxutap06.mp4 , Tập 06 , Tống Trần Kiên , 45:56
Người Phán Xử - Tập 07 , https://ucarecdn.com/af7723ba-0279-4745-bde9-08d35a9401e8/nguoiphanxutap07.mp4 , Tập 07 , Tống Trần Kiên , 47:37
Người Phán Xử - Tập 08 , https://ucarecdn.com/0421b29c-5b8e-48b3-8972-0f96bf0ba800/nguoiphanxutap08.mp4 , Tập 08 , Tống Trần Kiên , 45:33
Người Phán Xử - Tập 09 , https://ucarecdn.com/fc754e78-6145-4d14-8402-cb2e1a5ca470/nguoiphanxutap09.mp4 , Tập 09 , Tống Trần Kiên , 47:03
Người Phán Xử - Tập 10 , https://ucarecdn.com/7d0fd4aa-f415-420c-b5f0-0f9cadd75123/nguoiphanxutap10.mp4 , Tập 10 , Tống Trần Kiên , 45:22
Người Phán Xử - Tập 11 , https://ucarecdn.com/102175d4-d624-4f00-87fa-eaa82889ed09/nguoiphanxutap11.mp4 , Tập 11 , Tống Trần Kiên , 46:25
Người Phán Xử - Tập 12 , https://ucarecdn.com/1fea6517-26fc-4db3-bb9f-aa541f47b85d/nguoiphanxutap12.mp4 , Tập 12 , Tống Trần Kiên , 45:44
Người Phán Xử - Tập 13 , https://ucarecdn.com/5e3bed9e-13ae-404b-ae3b-2fef15fbc168/nguoiphanxutap13.mp4 , Tập 13 , Tống Trần Kiên , 47:14
Người Phán Xử - Tập 14 , https://ucarecdn.com/74c222f6-6a27-452f-854f-b5d8e01ac55d/nguoiphanxutap14.mp4 , Tập 14 , Tống Trần Kiên , 48:38
Người Phán Xử - Tập 15 , https://ucarecdn.com/285c034f-ddf3-4958-bff6-06300875fe31/nguoiphanxutap15.mp4 , Tập 15 , Tống Trần Kiên , 44:40
Người Phán Xử - Tập 16 , https://ucarecdn.com/888f997f-ae31-4f2b-8286-1f3b3d9056eb/nguoiphanxutap16.mp4 , Tập 16 , Tống Trần Kiên , 51:50
Người Phán Xử - Tập 17 , https://ucarecdn.com/5f335dfd-6569-4291-b519-9e6dcf267a1f/nguoiphanxutap17.mp4 , Tập 17 , Tống Trần Kiên , 44:54
Người Phán Xử - Tập 18 , https://ucarecdn.com/bfeb52a6-86e5-4a1e-a641-550c94c6e676/nguoiphanxutap18.mp4 , Tập 18 , Tống Trần Kiên , 46:02
Người Phán Xử - Tập 19 , https://ucarecdn.com/92699c35-68f1-4981-920e-c6524e85829a/nguoiphanxutap19.mp4 , Tập 19 , Tống Trần Kiên , 47:04
Người Phán Xử - Tập 20 , https://ucarecdn.com/594d8b2f-e106-49a4-99a0-794bc3d6768b/nguoiphanxutap20.mp4 , Tập 20 , Tống Trần Kiên , 44:40
Người Phán Xử - Tập 21 , https://ucarecdn.com/9145f6de-1f70-4817-807f-32cf41a37ef8/nguoiphanxutap21.mp4 , Tập 21 , Tống Trần Kiên , 46:10
Người Phán Xử - Tập 22 , https://ucarecdn.com/ce393fe3-4047-4f8f-a923-dca3f03d151f/nguoiphanxutap22.mp4 , Tập 22 , Tống Trần Kiên , 45:55
